quarter,eps,revenue,pat_margin,ebitda,ebitda_margin,pat,company,ret_1m,ret_3m,vol_30d,vol_60d,abnormal_volume
2023Q1,2.46,697.95,15.57,157.08,22.51,108.64,EMAMI,-0.10216603195571283,-0.13604115612882772,0.021614261989802087,0.018512684640478665,1.7485896445309579
2023Q2,2.93,697.88,18.49,181.3,25.98,129.02,EMAMI,0.08438658003284383,0.21464335365435594,0.019135164901799985,0.014398793931590567,0.6525425161695216
2023Q3,3.75,701.2,23.33,217.34,31.0,163.58,EMAMI,0.03548067177155434,0.2678360474848278,0.02066917447853182,0.020799720221280814,1.526990101144681
2023Q4,5.71,813.06,30.63,302.07,37.15,249.04,EMAMI,0.12592359378057827,0.09301832137803179,0.01963542499967311,0.017323310214052322,2.4045620095386258
2024Q1,3.48,709.43,21.39,214.62,30.25,151.75,EMAMI,-0.08571125819961434,-0.1382674845717703,0.01465512614884321,0.014639642067659811,1.0893249559541778
2024Q2,4.03,755.3,23.3,238.35,31.56,175.98,EMAMI,0.3158346419573552,0.6247495395429863,0.041024598976873834,0.03106481177428799,0.2786121389523605
2024Q3,4.9,709.01,30.2,260.82,36.79,214.1,EMAMI,-0.057796354919299686,0.06254344943794243,0.015430838856698225,0.018518828143222588,0.9705863783544194
2024Q4,6.4,878.64,31.8,338.3,38.5,279.41,EMAMI,-0.12171047656463685,-0.1957540540705145,0.029691912042289607,0.027517905385661953,0.5885315956197373
2016Q1,2.05,1134.06,18.47,297.1,26.2,209.51,GODREJ,0.15105015840206737,0.06158407826306611,0.021020802140407007,0.0212991953316982,1.161504690333285
2016Q2,1.48,1042.43,14.66,221.19,21.22,152.86,GODREJ,0.08225041036975189,0.1602015002889139,0.019125066743615908,0.019244932626171128,0.7367732176643201
2016Q3,2.07,1224.42,17.36,298.41,24.37,212.57,GODREJ,0.015358616359627764,0.019784352016755324,0.017253539921828535,0.016679830132871224,0.7854839221532735
2016Q4,2.26,1179.81,19.63,324.3,27.49,231.55,GODREJ,0.008954055056455745,-0.05654358840945972,0.014447049303914244,0.018824666607129645,0.6545057490935113
2017Q1,2.45,1226.14,20.45,356.0,29.03,250.73,GODREJ,0.0020680937293482415,0.1251355432363499,0.014638059035434864,0.01354080556665185,0.8458643631849302
2017Q2,1.46,1091.66,13.7,221.02,20.25,149.56,GODREJ,0.0688085710086932,0.15896732996953533,0.014467722660545457,0.02059389334739577,0.7557494318197392
2017Q3,2.93,1346.72,19.02,357.46,26.54,256.11,GODREJ,-0.010922007327764272,-0.04957368463819556,0.015474748786059098,0.020164581060693614,1.1283712490205366
2017Q4,2.93,1394.74,21.44,414.01,29.68,299.07,GODREJ,0.023659285676908226,0.11107788234402327,0.013428671185418595,0.01393750925989446,0.6725765755834221
2018Q1,2.89,1329.3,22.2,411.71,30.97,295.13,GODREJ,0.026371470390694762,0.11915727065798531,0.01211815344644683,0.014086476680800741,0.9091731290764999
2018Q2,2.15,1278.54,17.24,310.64,24.3,220.45,GODREJ,0.07597756390912047,0.10609835914377208,0.012180702392044258,0.013381417797072784,1.5659310117003555
2018Q3,2.89,1480.7,19.98,415.16,28.04,295.78,GODREJ,-0.2002670735561315,-0.04454789653761393,0.02335847670939221,0.020154527673648018,0.8552868922853569
2018Q4,3.24,1472.31,22.54,460.83,31.3,331.89,GODREJ,0.08804790850743305,0.05561489622796989,0.01844446828150658,0.023479021083099762,0.7128620053888852
2019Q1,8.87,1325.24,68.43,420.38,31.72,906.86,GODREJ,0.05067800259126165,-0.12987886428596285,0.013527082924599108,0.0169694298146581,0.6397390245792641
2019Q2,2.35,1289.81,18.61,326.34,25.3,240.06,GODREJ,-0.0046534247756034874,-0.035349012500668464,0.017037474967908355,0.014683661697693223,0.7931368770249474
2019Q3,3.27,1490.45,22.45,421.85,28.3,334.57,GODREJ,0.14511833821427755,0.03175784364599754,0.01653224387463033,0.015381515957913794,0.9546591303753919
2019Q4,3.57,1491.8,24.46,463.88,31.1,364.91,GODREJ,-0.05579301920218194,0.009607850404204976,0.016851408826496186,0.016081329655579464,0.6805302963601064
2020Q1,2.35,1089.21,22.07,326.9,30.01,240.35,GODREJ,-0.07074062662647496,-0.23680341298232066,0.04549373843067494,0.03534488598279993,1.1503107082130117
2020Q2,2.66,1358.35,20.0,382.97,28.19,271.66,GODREJ,0.09079425900347715,0.4682254382989419,0.019803645839186028,0.027469868774037277,1.0309881823330986
2020Q3,3.43,1650.43,21.24,486.31,29.47,350.6,GODREJ,0.10141292874090513,0.010665011744428243,0.01578669196806677,0.014860597273778415,1.6032151117514972
2020Q4,3.44,1658.3,21.19,483.56,29.16,351.38,GODREJ,0.04896537262436529,0.020966973637551956,0.011791827780548082,0.013683607643460206,0.9255674957520785
2021Q1,2.45,1466.36,17.1,349.27,23.82,250.7,GODREJ,0.06301001609522827,-0.015516393524195093,0.01728211010652512,0.016949685016597577,1.2772873316883555
2021Q2,3.18,1621.17,20.07,450.1,27.76,325.37,GODREJ,0.024969170188870127,0.22527277444361427,0.01357530870921623,0.03170615537501409,0.9668412567838744
2021Q3,3.48,1809.09,19.69,469.91,25.97,356.26,GODREJ,-0.06313101282721045,0.18345320271764343,0.015084113039540567,0.014394388231301075,1.2013421734367584
2021Q4,3.72,1785.18,21.29,491.52,27.53,380.0,GODREJ,0.04794124746674466,-0.05976320408796276,0.01702044499794561,0.01826076838847965,0.45235690284737295
2022Q1,4.08,1603.88,26.03,441.92,27.55,417.53,GODREJ,-0.026889695243496825,-0.22217011500825423,0.027624252325996895,0.023233519631617884,1.196418664981396
2022Q2,3.12,1813.71,17.62,435.92,24.03,319.53,GODREJ,-0.010772956382263388,0.04087669040373987,0.019874872911756186,0.02164947880226844,0.9190561941638307
2022Q3,3.21,1952.97,16.8,436.99,22.38,328.19,GODREJ,-0.013062375976250817,0.20183481541304715,0.01760116525099064,0.017708171034566747,1.101289851657524
2022Q4,4.48,1974.94,23.21,576.65,29.2,458.46,GODREJ,-0.003647768245273908,-0.03696559906862662,0.013208563576700666,0.013528394308222806,0.7148337966982682
2023Q1,3.98,1789.18,22.78,531.09,29.68,407.51,GODREJ,0.04857581043586179,0.09265849222101985,0.011250085751849201,0.01057829277589763,1.0817039588095443
2023Q2,3.82,1971.12,19.81,601.01,30.49,390.48,GODREJ,0.021401283268337234,0.12416795287677074,0.010778359137463032,0.012693044976952126,1.4498429782615292
2023Q3,4.74,2129.06,22.77,713.72,33.52,484.87,GODREJ,-0.028367217728103022,-0.0827012944601585,0.009810261897046379,0.010234577859663512,1.2782032770769016
2023Q4,4.62,2160.19,21.88,697.29,32.28,472.58,GODREJ,0.12995696156498426,0.1615379892705222,0.010784628354316293,0.011542637961513445,1.216285950554659
2024Q1,-6.85,2007.49,-34.91,-466.21,-23.22,-700.91,GODREJ,-0.0007183225899777268,0.14523610013547406,0.01572617189977708,0.019055905480947013,1.2865437940853475
2024Q2,3.6,2139.54,17.19,596.02,27.86,367.84,GODREJ,0.0586718686200729,0.13470153594175804,0.01949826083937592,0.018913778059849073,1.6211605637009059
2024Q3,3.84,2277.7,17.23,633.84,27.83,392.54,GODREJ,-0.05927627323584017,0.00032188652273790197,0.013964525298273836,0.016320363439726645,1.586921002654568
2024Q4,3.34,2237.15,15.27,575.36,25.72,341.54,GODREJ,-0.13063914603321913,-0.21778152377632698,0.019383281892207362,0.017195562122819415,0.7279072290412694
2016Q1,5.86,1459.69,25.06,453.93,31.1,365.74,HAVELLS,0.17302405308497604,0.07683481725573205,0.01750745074040845,0.021985498171691157,1.3912769422862674
2016Q2,2.33,1466.81,9.92,231.84,15.81,145.58,HAVELLS,0.017650026278159592,0.16086625255714448,0.011435297582782493,0.016676882461674123,0.45891574205739055
2016Q3,2.33,1452.24,10.04,235.69,16.23,145.79,HAVELLS,-0.008769940244618746,0.17093667613633534,0.01225744967367359,0.015631803220853245,1.5364726052179867
2016Q4,2.45,1506.01,10.16,238.3,15.82,152.97,HAVELLS,0.02209918472535355,-0.1836613173339502,0.02419522694571596,0.025822818558168578,0.9062417657091419
2017Q1,1.52,1710.2,5.54,194.78,11.39,94.7,HAVELLS,0.13500663265060098,0.418455908902982,0.014078946925274618,0.015170881798383377,0.7169367860856217
2017Q2,1.94,1860.54,6.52,207.24,11.14,121.38,HAVELLS,-0.04934838861976665,0.00541946840290497,0.022126883605861385,0.018021444208321063,1.0399488240653765
2017Q3,2.74,1777.36,9.62,285.6,16.07,171.02,HAVELLS,-0.010648197147999805,0.050326068663160584,0.013279657995500441,0.0174234282042085,0.9699780325574415
2017Q4,3.11,1965.77,9.89,310.96,15.82,194.36,HAVELLS,0.07841988537226219,0.19150490152738153,0.013935106287478441,0.017547000427450145,0.7426828189580719
2018Q1,3.61,2534.9,8.91,374.39,14.77,225.76,HAVELLS,-0.049117920066967025,-0.11300009731348049,0.011098181209881467,0.01646663961821352,1.0169403370548062
2018Q2,3.37,2596.34,8.1,341.47,13.15,210.4,HAVELLS,-0.0014701875415306098,0.07042931377413608,0.019578734297769223,0.017728364082793418,0.9645047021646397
2018Q3,2.86,2190.99,8.15,296.83,13.55,178.62,HAVELLS,-0.17021444245755235,0.1143503877407055,0.023819653701336593,0.022716282484101423,1.0195795339289064
2018Q4,3.13,2518.43,7.77,327.64,13.01,195.67,HAVELLS,0.002827971335509716,0.06960553838802408,0.01603453440845657,0.02083537022160033,0.9053879460376802
2019Q1,3.21,2753.49,7.29,345.94,12.56,200.62,HAVELLS,0.08217130649580939,0.12308035082087931,0.016663449779534406,0.016654984702909433,0.7267561988793365
2019Q2,2.81,2712.66,6.49,317.59,11.71,176.07,HAVELLS,0.07551817883320777,0.06387439238778025,0.012980645173370185,0.011779348666612762,0.7239368149763605
2019Q3,2.88,2230.55,8.08,264.1,11.84,180.31,HAVELLS,0.07820471589025435,-0.09018608882533485,0.030244921800231906,0.024780033590965554,1.0433830109872788
2019Q4,3.19,2269.87,8.79,292.87,12.9,199.47,HAVELLS,-0.03041411333207167,-0.10086830658455159,0.01442089283708974,0.014767038067353128,0.6976349160192621
2020Q1,2.83,2216.13,8.0,264.84,11.95,177.22,HAVELLS,-0.2110402461589741,-0.2526125722957224,0.03329103764355391,0.025452025055784203,1.0738058918403393
2020Q2,1.01,1479.12,4.28,163.07,11.02,63.34,HAVELLS,0.07245322177327407,0.22347758689349972,0.024471982078598388,0.029578268910773337,0.7172902720931867
2020Q3,5.19,2451.76,13.25,499.91,20.39,324.9,HAVELLS,0.09216147801517915,0.16860618590353904,0.018711612096853802,0.017246424237751946,0.9880662429392938
2020Q4,5.58,3165.85,11.03,547.24,17.29,349.13,HAVELLS,0.11264252889977455,0.35155263379157664,0.016230713042064252,0.0175950755761667,0.5024101234245447
2021Q1,4.83,3331.19,9.07,542.86,16.3,302.27,HAVELLS,-0.0498848402749531,0.15898896093369852,0.022322110538783742,0.030549145324286642,0.6031051237480187
2021Q2,3.74,2598.2,9.02,387.3,14.91,234.3,HAVELLS,-0.04451997397406715,-0.06348773985667,0.01332074638763378,0.017421538055325102,0.5301508902561665
2021Q3,4.81,3221.03,9.36,476.9,14.81,301.56,HAVELLS,0.08250221050320339,0.4008364201585821,0.0208886169733335,0.017992024042197383,0.5388179458071553
2021Q4,4.88,3652.25,8.38,489.14,13.39,305.92,HAVELLS,0.012942823369793244,0.01978586539862781,0.017749650064024413,0.019953453594404452,0.4967572496390067
2022Q1,5.64,4417.05,7.99,564.69,12.78,352.95,HAVELLS,-0.027958073445783826,-0.1730880167126797,0.020219364577672667,0.020312251958023133,0.6777025968859327
2022Q2,3.87,4230.14,5.73,408.37,9.65,242.43,HAVELLS,-0.07422081541077785,-0.04184403102022882,0.018076700999307464,0.018222155986441134,1.2570904722741219
2022Q3,2.98,3668.94,5.09,330.4,9.01,186.87,HAVELLS,-0.02628253186248264,0.2279640184769982,0.016159814076571046,0.016127553782386544,1.1004562540202758
2022Q4,4.53,4119.71,6.89,463.63,11.25,283.94,HAVELLS,-0.12032156060806787,-0.17514052050141604,0.011318373645445776,0.014650119909078895,0.6878720327614234
2023Q1,5.77,4849.59,7.46,577.58,11.91,361.71,HAVELLS,-0.007142673151243395,0.08037814478310379,0.013660584823629956,0.01496619557075801,1.0584334699670497
2023Q2,4.59,4823.7,5.96,467.07,9.68,287.38,HAVELLS,-0.015903549588311527,0.10210534765244828,0.010241980484487205,0.011203425589781938,1.49043478497449
2023Q3,3.97,3891.24,6.4,425.88,10.94,249.1,HAVELLS,0.02585026766745213,0.08274852677043998,0.016785667173480023,0.015406431002922744,0.587149798994884
2023Q4,4.59,4400.62,6.54,488.55,11.1,287.87,HAVELLS,0.062031730694396714,-0.02275340882423682,0.009498630115035227,0.012558681707909225,0.898484284152986
2024Q1,7.16,5434.34,8.26,712.52,13.11,448.86,HAVELLS,0.06386697636850869,0.11508249022358474,0.0177124421370055,0.01672568554044725,0.6346799418611918
2024Q2,6.56,5798.11,7.09,653.23,11.27,411.18,HAVELLS,-0.0344612136293615,0.24437352199117268,0.01920453423764067,0.016582629647281345,1.1369103011593655
2024Q3,4.35,4532.99,6.01,472.78,10.43,272.59,HAVELLS,0.059783602677850434,0.10362409663104621,0.01119254627668163,0.013067592854394326,1.1398913497864234
2024Q4,4.51,4882.5,5.79,495.67,10.15,282.81,HAVELLS,-0.024970853697251716,-0.17535567708072353,0.012600568270465778,0.015511491601843827,0.9952999047183198
2015Q4,4.42,7605.82,12.78,1495.64,19.66,971.66,HUL,0.035217294693485,0.11289960429912149,0.01157479566302342,0.011078921258748282,0.6457138740647368
2016Q1,5.07,7585.0,14.69,1624.0,21.41,1114.0,HUL,0.023061503872230826,0.013521520900336315,0.0164449431597558,0.01687513999648513,1.267231461313275
2016Q2,5.33,7987.0,14.7,1814.0,22.71,1174.0,HUL,0.06234850281133464,0.054334138137343,0.012124969298190177,0.012643196156152284,0.7791282712693791
2016Q3,4.98,7697.0,14.24,1676.0,21.77,1096.0,HUL,-0.061580926575418804,-0.018046950190440003,0.011654962380952484,0.011601146832671017,1.632359700952276
2016Q4,4.72,7512.0,13.82,1591.0,21.18,1038.0,HUL,-0.02564566382076261,-0.06067385638367229,0.0111149351359895,0.011253909705647538,0.9050566606753461
2017Q1,5.38,8100.0,14.6,1733.0,21.4,1183.0,HUL,0.04140513774517429,0.11392817863483073,0.010303671643347645,0.010255230577445238,1.3105885362237077
2017Q2,5.83,8401.0,15.27,1966.0,23.4,1283.0,HUL,0.020895868299712017,0.1936836987989372,0.011806032855100238,0.012694502966545843,1.0359238695760924
2017Q3,5.8,8199.0,15.56,1922.0,23.44,1276.0,HUL,-0.03758973639964769,0.08734711797801542,0.012937577419648408,0.01164277611522409,1.9116934716200662
2017Q4,6.03,8323.0,15.93,1811.0,21.76,1326.0,HUL,0.07185682132258919,0.14462148728433255,0.008780298938960982,0.010923242410795782,1.07598009042017
2018Q1,6.14,9003.0,15.01,2084.0,23.15,1351.0,HUL,3.752426733871772e-05,-0.01094134600072727,0.008846500534016349,0.009346761363847727,0.9837683627687286
2018Q2,6.94,9356.0,16.34,2327.0,24.87,1529.0,HUL,0.026115222508699798,0.2236608415251149,0.010697825418202824,0.012057168524603923,1.0988472999491241
2018Q3,6.93,9138.0,16.69,2289.0,25.05,1525.0,HUL,-0.09191497220294087,-0.0005592528525485418,0.017976184772967977,0.016179782799873706,0.9218979969377579
2018Q4,6.56,9357.0,15.43,2090.0,22.34,1444.0,HUL,0.028922939856724117,0.136138535017569,0.015558220807389516,0.015827960934442043,0.7730206161188383
2019Q1,6.99,9809.0,15.68,2368.0,24.14,1538.0,HUL,-0.04872467182363638,-0.060113744489733056,0.008226933395733228,0.008646548787112374,1.0536819886775723
2019Q2,7.98,9984.0,17.58,2801.0,28.05,1755.0,HUL,0.011045121611232611,0.07567585367302532,0.011219159692063156,0.010338281251237964,0.8765567543053925
2019Q3,8.4,9708.0,19.04,2576.0,26.53,1848.0,HUL,0.08415842429915577,0.11696918251921562,0.0199434187303294,0.01614191945071762,1.3026810265060134
2019Q4,7.35,9696.0,16.67,2486.0,25.64,1616.0,HUL,-0.05517620252852018,-0.04984518660774051,0.009571516035667894,0.01010440199243813,0.6502948946297412
2020Q1,6.91,8885.0,17.1,2273.0,25.58,1519.0,HUL,0.05690306358967834,0.19526787668705836,0.041147175507389826,0.03127187645347095,1.099105380912389
2020Q2,7.88,10406.0,18.08,2682.0,25.77,1881.0,HUL,0.04094170417090326,0.05111127384949321,0.011878079932366559,0.027524321319620997,1.0019259619401693
2020Q3,8.41,11276.0,17.82,2939.0,26.06,2009.0,HUL,-0.043207685508638405,-0.04444318798862257,0.011482994457310325,0.011542743175002642,1.1485986166077176
2020Q4,8.05,11682.0,16.44,2909.0,24.9,1921.0,HUL,0.12299265834919093,0.16567437035871424,0.013462692398695447,0.012339607966341638,0.7696055931191503
2021Q1,8.97,11947.0,17.94,3080.0,25.78,2143.0,HUL,0.14045154770666413,0.01979600605859977,0.016732713453599866,0.015414636939766685,1.0065551640643606
2021Q2,8.63,11730.0,17.57,2888.0,24.62,2061.0,HUL,0.055498030061404746,0.0738950492976509,0.009257378721515379,0.011821793002454449,0.7465862565064366
2021Q3,9.16,12516.0,17.47,3245.0,25.93,2187.0,HUL,-0.00818616443871334,0.0932708248542451,0.014210431246442104,0.012177331288547496,0.8238279855186553
2021Q4,9.39,12900.0,17.39,3304.0,25.61,2243.0,HUL,-0.009713544365949733,-0.12108444101740834,0.010875265626458576,0.011025206100989416,0.6809697515332257
2022Q1,9.74,13190.0,17.64,3425.0,25.97,2327.0,HUL,-0.05683440873183376,-0.11192756701830298,0.019709770238555493,0.017124080032506258,0.7647664180012426
2022Q2,9.58,14016.0,16.33,3372.0,24.06,2289.0,HUL,-0.025192842431565055,0.11627255411379167,0.01735531901848306,0.017689842357862275,0.9390607822246286
2022Q3,10.95,14514.0,18.02,3464.0,23.87,2616.0,HUL,0.03470838543096977,0.2088451113086538,0.011665354939268836,0.013118238957830193,1.2097455467110902
2022Q4,10.5,14986.0,16.72,3663.0,24.44,2505.0,HUL,-0.038229738195166174,-0.04529309058656583,0.012650417239011074,0.012604406883901121,0.6516068969866793
2023Q1,10.68,14638.0,17.43,3711.0,25.35,2552.0,HUL,0.04051780997798193,-0.002998236313854763,0.010016036882690819,0.011985490492951256,1.3448437470493884
2023Q2,10.35,14931.0,16.56,3669.0,24.57,2472.0,HUL,0.012173458315964059,0.08044148734124956,0.007993871482587341,0.009140765796365684,0.8394660800695044
2023Q3,11.37,15027.0,18.08,3972.0,26.43,2717.0,HUL,-0.02620504642701127,-0.07936439394735506,0.006994370782261859,0.008898258723502894,0.8446460405421068
2023Q4,10.54,14928.0,16.87,3795.0,25.42,2519.0,HUL,0.055008783898985,0.08251012496748866,0.007838639057608055,0.007890471996365354,0.7183111630935661
2024Q1,10.08,14693.0,16.38,3638.0,24.76,2406.0,HUL,-0.058188586223970606,-0.12395784732952242,0.009042286972984582,0.013149740643589135,1.4884118213088986
2024Q2,10.62,15166.0,16.73,3815.0,25.15,2538.0,HUL,0.05213776311566565,0.10662027353458514,0.016742346013895265,0.01502068564675767,0.7799320389659196
2024Q3,10.94,15319.0,17.05,3940.0,25.72,2612.0,HUL,0.06490290650721398,0.1809108919242135,0.012423680354884547,0.010927996862112516,1.0325030501567227
2024Q4,12.56,15195.0,19.75,4391.0,28.9,3001.0,HUL,-0.06782427539714708,-0.20643083997295875,0.011834270883246189,0.013093194834010594,0.604715728677574
